Id,Event Title,Event Image,VLOOKUP ID,Category link,Category Image,Category
1,Uber Engineering Events - San Francisco,https://secure.meetupstatic.com/photo_api/event/rx308x180/cpt/cr308x180/ql90/sgb54c13bc46/468914338.jpeg,11,www.meetup.com/find/tech/,https://secure.meetupstatic.com/photos/event/2/e/a/d/600_450131949.jpeg,Tech
2,SF Big Analytics,https://secure.meetupstatic.com/photo_api/event/rx308x180/cpt/cr308x180/ql90/sgb54c13bc46/457857397.jpeg,11,www.meetup.com/find/tech/,https://secure.meetupstatic.com/photos/event/2/e/a/d/600_450131949.jpeg,Tech
3,SFHTML5,https://secure.meetupstatic.com/photo_api/event/rx308x180/cpt/cr308x180/ql90/sgb54c13bc46/473945468.jpeg,11,www.meetup.com/find/tech/,https://secure.meetupstatic.com/photos/event/2/e/a/d/600_450131949.jpeg,Tech
4,IBM Code Bay Area,https://secure.meetupstatic.com/photo_api/event/rx308x180/cpt/cr308x180/ql90/sgb54c13bc46/470745953.jpeg,11,www.meetup.com/find/tech/,https://secure.meetupstatic.com/photos/event/2/e/a/d/600_450131949.jpeg,Tech
5,University of San Francisco Seminar Series in Data Science,https://secure.meetupstatic.com/photo_api/event/rx308x180/cpt/cr308x180/ql90/sgb54c13bc46/446568530.jpeg,11,www.meetup.com/find/tech/,https://secure.meetupstatic.com/photos/event/2/e/a/d/600_450131949.jpeg,Tech
6,Metis: San Francisco Data Science,https://secure.meetupstatic.com/photo_api/event/rx308x180/cpt/cr308x180/ql90/sgb54c13bc46/454159095.jpeg,11,www.meetup.com/find/tech/,https://secure.meetupstatic.com/photos/event/2/e/a/d/600_450131949.jpeg,Tech
7,"Starfish Mission - SF Blockchain Events, P2P Learning, More",https://secure.meetupstatic.com/photo_api/event/rx308x180/cpt/cr308x180/ql90/sgb54c13bc46/474402346.jpeg,11,www.meetup.com/find/tech/,https://secure.meetupstatic.com/photos/event/2/e/a/d/600_450131949.jpeg,Tech
8,Noisebridge Hackerspace,https://secure.meetupstatic.com/photo_api/event/rx308x180/cpt/cr308x180/ql90/sgb54c13bc46/473048027.jpeg,11,www.meetup.com/find/tech/,https://secure.meetupstatic.com/photos/event/2/e/a/d/600_450131949.jpeg,Tech
9,Google Developer Group San Francisco @sf_gdg,https://secure.meetupstatic.com/photo_api/event/rx308x180/cpt/cr308x180/ql90/sgb54c13bc46/465926411.jpeg,11,www.meetup.com/find/tech/,https://secure.meetupstatic.com/photos/event/2/e/a/d/600_450131949.jpeg,Tech
10,"PipelineAI Advanced Spark and TensorFlow Meetup (SF, Global)",https://secure.meetupstatic.com/photo_api/event/rx308x180/cpt/cr308x180/ql90/sgb54c13bc46/470890066.jpeg,11,www.meetup.com/find/tech/,https://secure.meetupstatic.com/photos/event/2/e/a/d/600_450131949.jpeg,Tech
11,Bay Area OWASP,https://secure.meetupstatic.com/photo_api/event/rx308x180/cpt/cr308x180/ql90/sgb54c13bc46/472801221.jpeg,11,www.meetup.com/find/tech/,https://secure.meetupstatic.com/photos/event/2/e/a/d/600_450131949.jpeg,Tech
12,San Francisco Startup Founder 101,https://secure.meetupstatic.com/photo_api/event/rx308x180/cpt/cr308x180/ql90/sgb54c13bc46/468475964.jpeg,11,www.meetup.com/find/tech/,https://secure.meetupstatic.com/photos/event/2/e/a/d/600_450131949.jpeg,Tech
13,PyLadies of San Francisco,https://secure.meetupstatic.com/photo_api/event/rx308x180/cpt/cr308x180/ql90/sgb54c13bc46/470811327.jpeg,11,www.meetup.com/find/tech/,https://secure.meetupstatic.com/photos/event/2/e/a/d/600_450131949.jpeg,Tech
14,AWE Nite SF,https://secure.meetupstatic.com/photo_api/event/rx308x180/cpt/cr308x180/ql90/sgb54c13bc46/470428199.jpeg,11,www.meetup.com/find/tech/,https://secure.meetupstatic.com/photos/event/2/e/a/d/600_450131949.jpeg,Tech
15,Bay Area Salesforce Developer Group,https://secure.meetupstatic.com/photo_api/event/rx308x180/cpt/cr308x180/ql90/sgb54c13bc46/448186211.jpeg,11,www.meetup.com/find/tech/,https://secure.meetupstatic.com/photos/event/2/e/a/d/600_450131949.jpeg,Tech
16,Serverless,https://secure.meetupstatic.com/photo_api/event/rx308x180/cpt/cr308x180/ql90/sgb54c13bc46/464510655.jpeg,11,www.meetup.com/find/tech/,https://secure.meetupstatic.com/photos/event/2/e/a/d/600_450131949.jpeg,Tech
17,San Francisco Kubernetes Meetup,https://secure.meetupstatic.com/photo_api/event/rx308x180/cpt/cr308x180/ql90/sgb54c13bc46/470546014.jpeg,11,www.meetup.com/find/tech/,https://secure.meetupstatic.com/photos/event/2/e/a/d/600_450131949.jpeg,Tech
18,Blockchain Founder Club SF/SV,https://secure.meetupstatic.com/photo_api/event/rx308x180/cpt/cr308x180/ql90/sgb54c13bc46/472860804.jpeg,11,www.meetup.com/find/tech/,https://secure.meetupstatic.com/photos/event/2/e/a/d/600_450131949.jpeg,Tech
